model,mae,rmse,n_eval,picp_80,mpiw_80,winkler_80,picp_95,mpiw_95,winkler_95
prophet,1348261.5312989375,1808316.2952247662,36,0.9444444444444444,5701258.965065126,6893569.057987455,0.9722222222222222,8713300.36324016,11429549.891434623
naive,1550624.0238888892,2090089.3837883158,36,0.8055555555555556,4185331.370166672,6706133.6185000045,0.9722222222222222,7764482.241041664,12349812.611319445
bayesian,1891675.3934382407,2554253.9563793303,36,0.8888888888888888,8593502.24905617,10102073.00679024,0.9722222222222222,13229551.508569872,14404713.782586344
