term,mean_closed_form,sd_closed_form,lower_95_closed_form,upper_95_closed_form,mean_pymc,sd_pymc,lower_95_pymc,upper_95_pymc,mean_abs_diff,gap_in_closed_form_sd,group
const,17.65301055138828,0.010625276996270895,17.63218500847559,17.67383609430097,17.65368861585988,0.010514483432882301,17.632994533830146,17.674752574260648,0.0006780644716002371,0.063816168918534,structural
trend,0.023562869431077795,0.018170841270754086,-0.012051979459600213,0.05917771832175581,0.023417989766955565,0.017976425642333788,-0.010630160361829686,0.059724671575600054,0.00014487966412222997,0.00797319518471681,structural
cos1,0.022741155817175285,0.00787906197595186,0.007298194344309637,0.03818411729004093,0.02198720988736431,0.007937470678404543,0.0063027766125013625,0.03750709345574007,0.0007539459298109737,0.09568980826805723,structural
sin1,-0.018165429923375775,0.007802770089185701,-0.03345885929817975,-0.002872000548571802,-0.019020514840119424,0.007983115631733815,-0.034149745502011636,-0.0032899242491712132,0.0008550849167436488,0.10958735256454104,structural
cos2,-0.01048518217238864,0.00771510291662104,-0.02560678388896588,0.004636419544188598,-0.012072560303778379,0.007649875091439536,-0.026735509406850985,0.003374893046386553,0.001587378131389738,0.2057494434675613,structural
sin2,-0.060351463893875745,0.007812199518687969,-0.07566337495050417,-0.045039552837247324,-0.05889995208099243,0.00812090479395909,-0.07467011739336253,-0.043201664684509186,0.0014515118128833118,0.18580065824113617,structural
cos3,-0.04727664482146024,0.007691345009115572,-0.062351681039326756,-0.03220160860359372,-0.04769348995515571,0.007847746173134317,-0.06323185882228896,-0.03247772401458324,0.0004168451336954704,0.05419665002693767,structural
sin3,-0.011962119752970124,0.007888183615909343,-0.027422959640152435,0.003498720134212187,-0.00888371919537151,0.008016419966444943,-0.02422467886986178,0.006923535123055265,0.0030784005575986133,0.39025467807188435,structural
cos4,-0.04348906452179779,0.007744809650672433,-0.05866889143711576,-0.028309237606479826,-0.0411077303319983,0.007533912642806869,-0.05623986214443961,-0.02632106887546419,0.0023813341897994944,0.3074748505397726,structural
sin4,0.02434482199418908,0.00786493167215292,0.008929555916769357,0.0397600880716088,0.028373342223412867,0.007871496656802738,0.013216348713595496,0.04346831971190178,0.0040285202292237865,0.5122129977921388,structural
cos5,-0.021709654850843307,0.008091725948808344,-0.037569437710507664,-0.005849871991178954,-0.01643275490380784,0.008124407917660061,-0.03155420046472313,-0.0005985663537862145,0.005276899947035469,0.6521352774944869,structural
sin5,0.026350072932038504,0.0074415305495156145,0.0117646730549879,0.04093547280908911,0.027079893156922195,0.007601538772984429,0.011801391422942254,0.041640281625601946,0.0007298202248836906,0.09807394057277588,structural
cos6,0.0060667965518721445,0.007788368257231455,-0.009198405232301508,0.021331998336045797,0.008918894661421865,0.00784170121084201,-0.006120860670281721,0.024198638824917247,0.002852098109549721,0.36619969874967895,structural
sin6,0.050397956824378365,0.00757990260658133,0.035541347715478955,0.06525456593327777,0.047696335208879184,0.0076163356772460935,0.03269255666317264,0.06205803284180509,0.0027016216154991807,0.3564190406817984,structural
holiday_Christmas,-0.24252176112338386,0.050053843198066945,-0.34062729379159506,-0.14441622845517266,-0.18664365062639954,0.04609958477310292,-0.2760072324578486,-0.09398213244275397,0.05587811049698432,1.1163600420425321,holiday (weakly identified)
holiday_Labor Day,0.06973343172947274,0.040968608374704715,-0.010565040684948498,0.150031904143894,0.057324825879088874,0.03865967763942301,-0.016560075026671173,0.132444174982614,0.01240860585038387,0.30288082370025843,holiday (weakly identified)
holiday_Super Bowl,0.08107957664207888,0.04146431115875426,-0.00019047322907947417,0.16234962651323723,0.06451147708369646,0.039134021117689426,-0.015800635518784252,0.13909354092383022,0.016568099558382413,0.3995749379496065,holiday (weakly identified)
holiday_Thanksgiving,0.2686479473776089,0.04998042074656153,0.1706863227143483,0.36660957204086947,0.21055767736439324,0.04477796574973776,0.12068977095882291,0.29649416757146657,0.05809027001321565,1.1622605241315829,holiday (weakly identified)
