model,mae,rmse,n_eval,picp_80,mpiw_80,winkler_80,picp_95,mpiw_95,winkler_95
prophet,1348261.5312989375,1808316.2952247662,36,0.9166666666666666,5715454.363128104,7033977.8722492885,0.9722222222222222,8759661.243088223,11603900.510415353
naive,1550624.0238888892,2090089.3837883158,36,0.8055555555555556,4185331.370166672,6706133.6185000045,0.9722222222222222,7764482.241041664,12349812.611319445
bayesian,2095762.742243867,2817133.1899688104,36,0.9166666666666666,10298810.711188227,11509583.458102755,0.9722222222222222,15984013.205497261,16317831.247823797
