model,mae,rmse,n_eval,picp_80,mpiw_80,winkler_80,picp_95,mpiw_95,winkler_95
prophet,1348261.5312989375,1808316.2952247662,36,0.9166666666666666,5724188.277296056,7047872.943813566,0.9722222222222222,8722316.944434706,11405535.117946409
naive,1550624.0238888892,2090089.3837883158,36,0.8055555555555556,4185331.370166672,6706133.6185000045,0.9722222222222222,7764482.241041664,12349812.611319445
bayesian,1960355.0097862007,2660048.204092893,36,0.8611111111111112,8364669.37887096,10318827.514422541,0.9722222222222222,12992136.69280241,14423970.454300188
