term,mean,sd,lower_95,upper_95
const,17.65301055138828,0.010625276996270895,17.63218500847559,17.67383609430097
trend,0.023562869431077795,0.018170841270754086,-0.012051979459600213,0.05917771832175581
cos1,0.022741155817175285,0.00787906197595186,0.007298194344309637,0.03818411729004093
sin1,-0.018165429923375775,0.007802770089185701,-0.03345885929817975,-0.002872000548571802
cos2,-0.01048518217238864,0.00771510291662104,-0.02560678388896588,0.004636419544188598
sin2,-0.060351463893875745,0.007812199518687969,-0.07566337495050417,-0.045039552837247324
cos3,-0.04727664482146024,0.007691345009115572,-0.062351681039326756,-0.03220160860359372
sin3,-0.011962119752970124,0.007888183615909343,-0.027422959640152435,0.003498720134212187
cos4,-0.04348906452179779,0.007744809650672433,-0.05866889143711576,-0.028309237606479826
sin4,0.02434482199418908,0.00786493167215292,0.008929555916769357,0.0397600880716088
cos5,-0.021709654850843307,0.008091725948808344,-0.037569437710507664,-0.005849871991178954
sin5,0.026350072932038504,0.0074415305495156145,0.0117646730549879,0.04093547280908911
cos6,0.0060667965518721445,0.007788368257231455,-0.009198405232301508,0.021331998336045797
sin6,0.050397956824378365,0.00757990260658133,0.035541347715478955,0.06525456593327777
holiday_Christmas,-0.24252176112338386,0.050053843198066945,-0.34062729379159506,-0.14441622845517266
holiday_Labor Day,0.06973343172947274,0.040968608374704715,-0.010565040684948498,0.150031904143894
holiday_Super Bowl,0.08107957664207888,0.04146431115875426,-0.00019047322907947417,0.16234962651323723
holiday_Thanksgiving,0.2686479473776089,0.04998042074656153,0.1706863227143483,0.36660957204086947
